model,n_input,n_output,cpu_usage,gpu_usage,execution_time,system
Qwen/Qwen2.5-1.5B-Instruct,107,1024,26.2,35,53.00049352645874,
Qwen/Qwen2.5-1.5B-Instruct,85,517,26.6,33,27.838210105896,
Qwen/Qwen2.5-1.5B-Instruct,58,472,26.7,33,25.648791313171387,
Qwen/Qwen2.5-1.5B-Instruct,141,532,26.6,34,28.879854679107662,
Qwen/Qwen2.5-1.5B-Instruct,74,27,26.6,21,3.681969165802002,
Qwen/Qwen2.5-1.5B-Instruct,98,80,24.8,33,6.224277973175049,
Qwen/Qwen2.5-1.5B-Instruct,113,79,25.2,32,6.1897337436676025,
Qwen/Qwen2.5-1.5B-Instruct,94,325,27.3,32,18.38956570625305,
Qwen/Qwen2.5-1.5B-Instruct,113,109,25.2,32,7.731992483139038,
Qwen/Qwen2.5-1.5B-Instruct,107,290,27.3,32,16.71317219734192,
Qwen/Qwen2.5-1.5B-Instruct,101,65,25.3,28,5.547945499420166,
Qwen/Qwen2.5-1.5B-Instruct,95,219,27.7,33,13.1533522605896,
Qwen/Qwen2.5-1.5B-Instruct,89,452,25.4,33,24.587700128555294,
Qwen/Qwen2.5-1.5B-Instruct,120,956,26.3,29,49.7028968334198,
Qwen/Qwen2.5-1.5B-Instruct,79,17,23.6,25,3.228221654891968,
Qwen/Qwen2.5-1.5B-Instruct,104,657,26.6,34,34.804511308670044,
Qwen/Qwen2.5-1.5B-Instruct,116,64,29.9,31,5.543690204620361,
Qwen/Qwen2.5-1.5B-Instruct,77,1024,26.3,32,53.09622859954834,
Qwen/Qwen2.5-1.5B-Instruct,100,226,25.3,31,13.590237379074097,
Qwen/Qwen2.5-1.5B-Instruct,112,702,26.5,35,37.20652103424072,
Qwen/Qwen2.5-1.5B-Instruct,136,154,28.7,33,10.001122951507568,
Qwen/Qwen2.5-1.5B-Instruct,90,14,25.3,18,3.115025520324707,
Qwen/Qwen2.5-1.5B-Instruct,99,19,24.2,26,3.288548231124878,
Qwen/Qwen2.5-1.5B-Instruct,94,521,26.8,33,28.01524257659912,
